id,description,dataType
2340816,"Yogurt, low fat milk, flavors other than fruit",Survey (FNDDS)
2340817,"Yogurt, nonfat milk, flavors other than fruit",Survey (FNDDS)
2340818,"Yogurt, Greek, NS as to type of milk, flavors other than fruit",Survey (FNDDS)
2340819,"Yogurt, Greek, whole milk, flavors other than fruit",Survey (FNDDS)
2340820,"Yogurt, Greek, low fat milk, flavors other than fruit",Survey (FNDDS)
2340821,"Yogurt, Greek, nonfat milk, flavors other than fruit",Survey (FNDDS)
2340822,"Yogurt, Greek, with oats",Survey (FNDDS)
2340823,"Yogurt, liquid",Survey (FNDDS)
2340824,"Chipotle dip, yogurt based",Survey (FNDDS)
2340825,"Onion dip, yogurt based",Survey (FNDDS)
2340826,"Ranch dip, yogurt based",Survey (FNDDS)
2340827,"Spinach dip, yogurt based",Survey (FNDDS)
2340828,Tzatziki dip,Survey (FNDDS)
2340829,"Vegetable dip, yogurt based",Survey (FNDDS)
2340830,"Yogurt parfait, low fat, with fruit",Survey (FNDDS)
2340831,"Frozen yogurt, NFS",Survey (FNDDS)
2340832,"Frozen yogurt, vanilla",Survey (FNDDS)
2340833,"Frozen yogurt, chocolate",Survey (FNDDS)
2340834,"Frozen yogurt, soft serve, vanilla",Survey (FNDDS)
2340835,"Frozen yogurt, soft serve, chocolate",Survey (FNDDS)
2340836,Frozen yogurt sandwich,Survey (FNDDS)
2340837,"Frozen yogurt bar, vanilla",Survey (FNDDS)
2340838,"Frozen yogurt bar, chocolate",Survey (FNDDS)
2340839,"Frozen yogurt cone, chocolate",Survey (FNDDS)
2340840,"Frozen yogurt cone, vanilla",Survey (FNDDS)
2340841,"Frozen yogurt cone, vanilla, waffle cone",Survey (FNDDS)
2340842,"Frozen yogurt cone, chocolate, waffle cone",Survey (FNDDS)
2340843,"Baby Toddler food, NFS",Survey (FNDDS)
2340844,"Baby Toddler yogurt, plain",Survey (FNDDS)
2340845,"Baby Toddler yogurt, with fruit",Survey (FNDDS)
2340846,"Chocolate milk, NFS",Survey (FNDDS)
2340847,"Chocolate milk, ready to drink, whole",Survey (FNDDS)
2340848,"Chocolate milk, ready to drink, reduced fat",Survey (FNDDS)
2340849,"Chocolate milk, ready to drink, fat free",Survey (FNDDS)
2340850,"Chocolate milk, ready to drink, low fat",Survey (FNDDS)
2340851,"Chocolate milk, ready to drink, reduced sugar, NS as to milk",Survey (FNDDS)
2340852,"Chocolate milk, ready to drink, low fat (Nesquik)",Survey (FNDDS)
2340853,"Chocolate milk, ready to drink, low fat, no sugar added (Nesquik)",Survey (FNDDS)
2340854,"Hot chocolate / Cocoa, ready to drink",Survey (FNDDS)
