foodId,nutrientId,amount
323505,1089,1.6
323505,1090,32.7
323505,1091,55.0
323505,1093,53.0
323505,1101,0.92
323505,1004,1.49
323505,1005,4.42
323505,1051,89.6
323505,1109,0.66
323505,1087,254.0
323505,1092,348.0
323505,1095,0.39
323505,1175,0.147
323505,1063,0.8
323604,1090,11.2
323604,1091,189.0
323604,1092,117.0
323604,1095,1.2
323604,1093,121.0
323604,1089,1.77
323604,1008,149.8565965583174
323604,1003,12.3
323604,1051,75.4
323604,1087,55.0
323604,1004,10.3
323604,1005,0.91
323604,1112,2.3
323604,1114,2.3
323604,1110,91.0
323604,1253,420.0
323697,1092,130.0
323697,1095,0.02
323697,1093,144.0
323697,1090,10.6
323697,1051,88.3
323697,1087,9.0
323697,1004,0.16
323697,1005,0.74
323697,1008,48.0
323697,1003,10.1
323697,1089,0.18
323697,1253,3.0
323793,1008,375.23900573613764
323793,1003,79.9
323793,1090,87.6
323793,1091,107.0
323793,1093,1250.0
323793,1253,17.0
323793,1087,104.0
323793,1092,959.0
323793,1095,0.43
323793,1004,0.65
323793,1005,6.02
323793,1051,7.98
324317,1092,135.0
324317,1109,0.57
324317,1004,14.4
324317,1005,36.3
324317,1008,288.0
324317,1051,43.4
324317,1175,0.127
324317,1292,2.87
324317,1293,7.58
324317,1101,0.435
324317,1162,1.6
324317,1257,0.041
324317,1258,2.15
324317,1090,20.4
324317,1091,75.0
324317,1093,374.0
324317,1079,2.4
324317,1089,1.14
324317,1003,4.52
324317,1087,28.0
324317,1095,0.59
324317,1063,4.5
324653,1109,0.12
324653,1008,11.950286806883366
324653,1093,808.0
324653,1106,4.0
324653,1051,94.7
324653,1087,54.0
324653,1092,112.0
324653,1095,0.11
324653,1175,0.034
324653,1004,0.43
324653,1005,1.99
324653,1003,0.48
324653,1079,1.0
324653,1089,0.23
324653,1090,7.1
324653,1091,16.0
324653,1162,2.1
324653,1101,0.056
324653,1185,16.8
324653,1063,1.28
325036,1004,28.0
325036,1005,12.4
325036,1008,421.0
325036,1051,22.8
325036,1087,884.0
325036,1092,184.0
325036,1095,4.33
325036,1109,0.51
325036,1175,0.081
325036,1183,7.1
325036,1292,6.4
325036,1293,1.2
325036,1003,29.6
325036,1089,0.45
325036,1090,34.9
325036,1091,634.0
325036,1093,1750.0
325036,1101,0.066
325036,1106,228.0
325036,1253,87.0
325036,1257,0.896
325036,1258,15.5
325036,1185,1.7
325036,1178,1.35
325036,1063,0.07
325198,1109,0.79
325198,1110,301.0
325198,1087,866.0
325198,1092,149.0
325198,1095,2.42
325198,1051,39.6
325198,1175,0.056
325198,1292,7.3
325198,1293,1.09
325198,1253,98.0
325198,1257,1.15
325198,1258,18.1
325198,1003,18.0
